model,iou,AP,precision,recall,F1
FCOS,0.1,0.7897862371711714,0.9325612334309115,0.8561007485817214,0.8892962794181692
FCOS,0.2,0.6828864194772042,0.8793292528572122,0.8072799820571166,0.8382269871263845
FCOS,0.3,0.6598753307222452,0.830203858774404,0.7612807728511981,0.7900913721766538
FCOS,0.4,0.5624827070091034,0.7757139367058657,0.7107551821083784,0.7372424608085336
FCOS,0.5,0.5206686983065762,0.6964958730186542,0.6347251714413017,0.6581478050266708
FCOS,0.6,0.3384336185246552,0.5677636251563041,0.5111893576786414,0.5297279164309318
FCOS,0.7,0.1614038321203248,0.3956081184435774,0.3277412449233231,0.33906786777605263
FCOS,0.8,0.03169516074963789,0.3800651208932851,0.12066925609725711,0.1247148731603126
FCOS,0.9,0.002457002457002457,0.8830510051846105,0.009627664550786987,0.009991347973155956

FCOS,0.1,0.6154717989043441,0.9325612334309143,0.8561007485817235,0.8892962794181707
FCOS,0.1,0.7897862371711714,0.9325612334309115,0.8561007485817214,0.8892962794181692
FCOS,0.1,0.7897862371711714,0.9325612334309115,0.8561007485817214,0.8892962794181692
FCOS,0.1,0.7897862371711714,0.9325612334309115,0.8561007485817214,0.8892962794181692
